date,ticker,secteur,bourse,pays,rating,anciennete,employes,prix_ouverture,prix_haut,prix_bas,prix_cloture,volume,market_cap_m,rendement_jour,rendement_log,volatilite_20j,beta,per,pbr,roe,roa,debt_equity,dividend_yield,rsi,macd,moy_mobile_50,moy_mobile_200,bollinger_width,sentiment,taux_central,inflation,vix,defaut_recent
2019-02-18,PNFI,Consommation,NASDAQ,USA,A,0.5,311,77.55,77.73,75.6,75.84,1815659,522.42,-0.024678,-0.024988,0.00317,0.827,17.52,1.83,-0.0104,0.0438,0.576,0.0298,33.1,-3.783,75.16,66.84,0.067,0.494,-0.0043,0.04,12.74,0
2020-11-27,OEMD,Finance,NASDAQ,UK,BB,16.3,7247,65.11,65.94,63.54,64.51,451892,7542.24,-0.009196,-0.009239,0.01081,1.09,28.1,4.27,0.2413,0.1173,2.044,0.0126,12.8,-3.764,69.66,55.88,0.0342,-0.189,0.0114,0.014,24.01,0
2021-06-03,CETN,Industrie,LSE,USA,B,8.6,313,11.66,11.94,11.65,11.83,554516,483.64,0.014042,0.013945,0.02507,0.986,42.27,3.11,0.2615,0.0063,1.872,0.0307,47.8,2.397,11.06,12.26,0.0549,-0.507,0.0242,0.0342,30.69,0
2015-06-15,VSBH,Industrie,NYSE,USA,BB,13.7,132,46.91,47.39,46.87,47.09,1920636,261.46,0.010265,0.010213,0.01998,0.892,15.34,1.23,0.1625,-0.0104,0.259,0.0565,62.1,1.431,48.89,38.76,0.0551,-0.149,0.0324,0.0422,14.68,0
2019-07-19,IZPM,Consommation,EURONEXT,Allemagne,CCC,8.1,1495,25.73,26.19,25.49,25.96,4868740,807.0,0.006641,0.006619,0.0189,0.816,17.39,,0.1059,0.0876,2.394,0.0385,58.2,0.921,25.94,24.94,0.041,0.189,-0.0066,0.0284,13.95,0
2020-03-07,YPTN,Tech,NYSE,USA,A,24.3,4568,124.83,125.24,119.32,120.16,4835296,6256.74,-0.040141,-0.040968,0.03518,1.214,36.44,5.66,0.117,0.0901,2.184,0.0166,41.7,-6.072,119.86,105.43,0.0129,0.617,-0.006,0.0103,21.41,0
2020-10-14,KUJY,Energie,NYSE,France,A,8.7,2046,158.94,160.68,157.63,160.35,338363,2662.68,0.001976,0.001974,0.02549,0.795,7.45,2.04,0.1098,0.1516,1.828,0.028,63.0,3.556,156.79,140.96,0.029,-0.065,0.0121,0.0041,27.44,0
2022-07-01,IWBN,Tech,TSX,UK,BB,9.5,665,78.48,79.27,74.63,75.33,5547493,1152.23,-0.031773,-0.032289,0.0317,1.554,24.74,0.3,0.1149,0.0756,0.708,0.0213,79.3,2.716,77.21,77.45,0.0045,0.413,0.0473,0.0313,18.88,0
2020-06-29,MYJK,Tech,EURONEXT,UK,BBB,4.7,73218,101.31,101.79,98.54,99.4,556138,22256.6,-0.011585,-0.011653,0.03251,1.137,35.21,0.95,0.3916,0.0247,0.73,0.0092,59.1,-0.057,94.13,97.18,0.0426,0.528,0.0018,0.0075,20.55,0
2020-06-03,BBOD,Sante,NASDAQ,France,A,10.3,339,35.7,36.83,35.47,36.15,2776449,242.49,0.010602,0.010546,0.01128,0.87,18.89,3.93,0.2019,0.0814,1.741,0.0114,89.0,0.344,35.49,35.92,0.043,0.334,-0.0014,0.0048,14.75,0
2020-04-20,IYHY,Consommation,EURONEXT,UK,A,15.2,17486,164.18,165.92,164.06,164.9,1179997,13439.85,-0.002081,-0.002083,0.02256,0.968,39.38,3.92,0.1039,0.1309,0.29,0.0611,37.7,5.164,159.54,162.6,0.025,0.171,-0.005,0.0063,25.95,0
2019-04-21,KXJT,Industrie,NASDAQ,Chine,BB,11.2,573,89.81,89.89,86.54,86.68,4227582,530.33,-0.030731,-0.031213,0.01448,1.196,16.23,4.27,0.0494,0.1399,0.522,0.0514,47.3,-2.605,83.96,79.47,0.0375,-0.8,-0.0049,0.0407,10.72,0
2019-03-14,DRIV,Finance,NYSE,Canada,BB,1.9,838,29.07,29.33,29.07,29.11,929957,1014.44,0.000388,0.000388,0.0279,1.315,25.62,1.03,0.0514,0.0681,0.903,0.0252,19.4,0.86,28.75,31.49,0.0526,-0.058,-0.0072,0.0427,7.11,0
2022-06-09,LLQO,Finance,NASDAQ,UK,CCC,6.5,750,12.81,12.98,12.8,12.94,600324,533.19,0.013066,0.012981,0.0222,0.952,14.01,3.53,-0.0408,0.1404,0.068,0.0307,80.6,-1.401,12.96,13.32,0.0333,-0.58,0.0482,0.0383,19.16,0
2020-03-15,OXTB,Energie,TSX,Chine,BBB,11.1,7857,151.47,157.9,151.32,157.29,1765123,8299.38,0.035922,0.035292,0.04294,1.127,38.61,3.16,0.2585,0.0493,0.401,0.0169,33.0,0.81,164.44,157.38,0.0021,0.496,-0.008,0.0011,19.92,0
2019-08-28,YOBJ,Tech,NYSE,Japon,BB,37.2,1646,22.02,22.17,21.38,21.53,557662,1538.34,-0.018786,-0.018964,0.05267,1.259,19.69,0.44,0.1184,0.0205,0.061,0.0091,67.4,2.17,23.21,20.82,0.019,-0.032,-0.0118,0.0192,13.68,0
2019-04-29,AOQY,Tech,NYSE,USA,BB,30.8,15499,85.3,87.36,85.1,87.26,1531337,7507.4,0.005708,0.005692,0.02976,1.511,44.54,3.1,0.2384,-0.0305,2.128,0.0399,57.5,-2.515,95.06,79.44,0.0127,0.218,-0.006,0.0378,26.72,0
2018-01-22,RUVM,Energie,EURONEXT,Allemagne,BBB,3.7,2474,109.82,110.7,109.15,110.64,101065,2463.31,-0.000868,-0.000868,0.01675,1.293,19.1,6.21,0.1441,0.0703,0.912,0.0267,48.4,-5.364,110.06,123.13,0.0087,-0.497,0.026,0.0255,23.37,0
2022-05-11,KRBO,Finance,NASDAQ,USA,CCC,11.3,997,26.79,28.24,26.66,28.1,1940193,789.75,0.043732,0.042803,0.04194,1.282,30.56,3.06,0.2362,0.0452,0.021,0.03,47.0,-4.719,28.69,28.15,0.0333,0.092,0.0477,0.0411,22.77,0
2016-06-07,EFWL,Sante,NASDAQ,Canada,BBB,19.7,7388,274.22,276.68,272.85,275.03,4955469,11146.29,0.00308,0.003075,0.01807,0.976,15.29,1.54,0.2602,0.0031,0.725,0.021,37.8,-3.46,263.39,210.55,0.0531,0.562,0.0495,0.0273,18.32,1
2019-10-02,OCHL,Energie,NASDAQ,UK,A,8.0,231,32.08,32.5,31.66,32.1,4959095,358.22,-0.004911,-0.004923,0.01999,0.909,4.31,,0.2096,-0.0121,1.658,0.0153,73.6,-5.633,33.21,31.34,0.0276,0.196,-0.0088,0.0186,20.9,0
2017-10-19,XLQS,Consommation,TSX,Allemagne,B,19.4,1227,31.32,32.1,31.14,32.04,315955,779.31,0.021632,0.021401,0.0116,0.66,10.34,4.09,0.0812,0.035,0.602,0.0466,49.3,-1.398,30.37,25.95,0.0406,0.179,0.0297,0.0136,16.88,0
2021-07-11,FHNK,Consommation,NYSE,USA,AA,30.5,586,54.15,54.65,53.37,53.89,1226480,447.26,-0.006512,-0.006533,0.0153,0.859,14.03,3.14,0.0621,0.0733,0.318,0.0132,61.4,-1.411,59.55,43.86,0.0724,-0.127,0.0251,0.0342,17.38,0
2018-01-06,VKLE,Finance,NYSE,Canada,B,2.8,4067,48.48,48.86,48.04,48.14,1950252,9083.2,-0.004035,-0.004043,0.0208,1.216,15.1,3.75,0.0573,0.0267,0.37,0.0014,58.2,-0.491,50.01,46.56,0.0434,-0.558,0.0251,0.0204,19.61,0
2019-04-08,STMR,Consommation,NASDAQ,USA,BBB,7.7,6196,33.26,33.32,32.26,32.26,4275543,6682.38,-0.021635,-0.021873,0.0088,0.995,16.28,2.74,0.1362,0.0915,0.789,0.0482,48.9,-4.09,34.48,27.79,0.0447,-0.714,-0.0084,0.0394,10.32,0
2018-07-30,ZKAE,Consommation,NASDAQ,USA,BB,12.9,487,47.88,48.38,46.97,47.17,345322,692.25,-0.007247,-0.007274,0.02543,0.876,22.2,2.23,0.1056,0.0026,1.07,0.0828,49.8,0.154,45.02,51.73,0.0493,0.156,0.0069,0.0377,6.9,0
2023-04-17,QUNS,Finance,NYSE,USA,B,14.8,146755,101.57,104.2,101.39,103.84,2685209,80677.77,0.020976,0.020759,0.03966,1.267,,3.48,-0.1309,0.1588,1.055,0.0477,32.5,-1.733,118.59,99.09,0.0162,0.672,0.0447,0.0071,18.67,0
2017-09-03,ARQY,Finance,NASDAQ,UK,BBB,2.3,423,36.5,37.02,34.52,34.74,20484715,257.84,-0.045948,-0.047037,0.02707,1.067,20.45,0.39,0.1623,-0.0514,0.241,0.0168,42.3,-0.673,32.52,37.78,0.0196,0.543,0.0348,0.0127,26.71,0
2022-09-30,KUGX,Sante,NASDAQ,USA,AAA,8.6,331,38.87,39.42,38.68,39.27,77410,361.61,0.013452,0.013363,0.02214,0.822,23.74,0.63,0.059,0.1681,2.286,0.0284,66.0,-4.296,42.22,41.04,0.0543,0.289,0.0493,0.0258,7.58,0
2021-07-29,OTNT,Tech,EURONEXT,USA,BBB,16.3,162,12.2,12.63,12.2,12.57,2399332,101.89,0.036242,0.035601,0.03043,1.283,35.09,3.6,0.2029,0.0466,1.279,0.0104,30.2,1.49,12.09,11.6,0.042,-0.107,0.0287,0.0367,13.28,0
2023-03-30,VTZY,Tech,NASDAQ,USA,B,2.0,9982,22.79,23.09,22.57,22.76,7380903,6272.18,0.003816,0.003808,0.03837,1.163,35.61,0.99,0.15,0.0016,1.507,0.0105,46.0,-0.182,20.6,20.25,0.0454,-0.868,0.047,0.006,28.7,0
2017-01-05,UNCK,Tech,NYSE,USA,BBB,12.8,676,15.46,15.6,15.38,15.47,890684,1018.93,-0.0051,-0.005113,0.05377,1.314,43.09,3.65,0.1279,-0.0272,1.559,0.0252,57.2,-1.793,16.43,18.36,0.0349,-0.077,0.0449,0.006,25.44,1
2015-06-23,PYIZ,Consommation,NASDAQ,USA,BBB,19.5,4059,119.73,119.8,118.87,118.96,1462676,4160.14,-0.00484,-0.004852,0.01599,0.975,14.56,3.56,0.3372,0.0581,1.122,0.0709,38.9,-1.519,115.2,115.17,0.05,-0.097,0.0339,0.0409,7.1,0
2021-06-29,PWSO,Sante,LSE,Japon,BB,25.0,1232,74.76,75.11,74.42,75.0,186488,1045.74,0.010549,0.010494,0.01769,1.01,29.2,1.02,0.1267,0.0527,2.179,0.0229,33.9,-1.206,79.01,80.92,0.0414,-0.239,0.0302,0.0345,19.09,0
2021-06-23,VQVL,Consommation,EURONEXT,Allemagne,BB,30.9,1416,65.92,66.43,64.97,65.09,99833,1380.02,-0.005581,-0.005597,0.01301,0.81,7.74,5.16,0.1562,0.0058,1.053,0.0405,26.0,2.012,63.36,71.59,0.0145,-0.761,0.0245,0.0341,25.87,0
2016-11-27,AFNC,Consommation,NASDAQ,Chine,BB,40.2,3598,48.4,48.78,46.96,47.22,1007717,4921.22,-0.021604,-0.021841,0.01414,0.644,4.91,4.83,0.0167,0.0492,1.477,0.0578,56.7,0.186,52.06,58.13,0.0119,0.354,0.0452,0.016,20.84,0
2022-04-02,LANF,Energie,EURONEXT,Chine,CCC,18.4,1722,68.94,69.06,66.87,67.6,1467539,1526.19,-0.026107,-0.026454,0.03401,1.191,19.62,3.1,0.1841,0.0647,1.621,0.0303,60.0,1.674,74.71,56.89,0.0331,-0.021,0.0451,0.0444,16.76,0
2023-08-30,TNXX,Sante,NASDAQ,Canada,BBB,2.6,4640,126.75,131.12,125.53,130.85,778399,2693.01,0.03246,0.031944,0.01367,0.793,12.64,2.11,0.2377,0.1376,2.611,0.0225,57.1,1.423,129.23,127.11,0.0505,0.435,0.0427,0.0086,22.53,0
2015-08-05,KKNQ,Tech,LSE,UK,BB,10.7,3547,102.88,103.06,100.96,101.9,1229903,3345.41,-0.015586,-0.015709,0.02371,1.23,15.25,5.28,0.0327,0.0697,1.265,0.0039,70.9,2.79,98.82,84.72,0.0823,-0.407,0.0399,0.043,20.57,0
2019-09-09,RMNA,Tech,EURONEXT,France,BBB,18.1,225,28.23,29.58,28.2,29.16,953342,513.03,0.021645,0.021414,0.0358,1.135,22.71,1.79,0.1164,0.1194,1.561,0.0354,86.1,2.958,29.5,34.37,0.0513,-0.597,-0.0131,0.0238,27.53,0
2021-01-27,BLYJ,Sante,NYSE,USA,BB,2.6,715,13.02,13.04,12.83,12.83,11542535,435.24,-0.007336,-0.007363,0.0243,0.871,25.59,1.52,0.3819,0.026,2.111,0.0094,40.8,0.963,12.14,12.49,0.0551,0.15,0.0112,0.0195,7.8,0
2018-08-13,ZIBH,Energie,NYSE,Allemagne,BBB,26.5,2573,25.6,26.3,25.22,26.13,23571785,2912.57,0.020934,0.020718,0.02776,1.183,28.31,5.8,0.0706,0.0336,1.143,0.0021,83.8,-5.827,26.1,30.33,0.0459,0.211,0.0096,0.048,23.27,0
2015-05-18,KDKP,Sante,NYSE,USA,BBB,4.6,289,25.25,25.39,25.07,25.2,1361747,413.25,-0.004267,-0.004276,0.02086,0.93,20.04,0.84,0.1761,0.1233,0.434,0.0014,32.2,-1.155,25.37,27.25,0.0242,0.231,0.0305,0.0401,7.38,0
2018-08-08,FUEV,Consommation,NYSE,USA,BB,17.9,2746,108.45,108.67,106.38,108.14,4050166,1874.07,-0.001208,-0.001209,0.02049,1.015,32.31,4.84,0.2187,0.0246,2.396,0.0241,45.9,1.867,103.09,88.54,0.0177,0.015,0.007,0.0413,22.01,0
2023-07-04,DGJH,Sante,NASDAQ,Chine,BB,12.6,15452,110.4,111.05,109.51,110.87,1484049,22241.25,0.005711,0.005695,0.02279,1.04,,2.28,0.06,0.0043,1.451,0.0061,55.6,1.94,111.72,124.12,0.0298,-0.585,0.0474,0.0038,32.71,0
2019-11-14,RHDE,Sante,NYSE,USA,A,8.3,193197,371.08,371.7,355.11,357.58,145448,208758.68,-0.03964,-0.040447,0.00826,0.859,14.83,0.3,0.1098,0.0607,0.842,0.0447,66.4,1.454,338.79,371.4,0.0238,0.239,-0.0067,0.015,16.26,0
2018-12-03,XQYD,Sante,EURONEXT,USA,B,13.8,792,22.15,22.49,22.15,22.37,3303168,813.29,0.010114,0.010064,0.01753,0.597,6.92,4.03,0.0796,0.0807,1.679,0.0238,56.2,1.584,21.13,23.11,0.0705,0.195,-0.0014,0.0438,18.4,0
2021-05-03,RKWO,Finance,NASDAQ,USA,A,26.8,1333,63.06,63.98,62.21,63.5,1022294,1374.37,0.001115,0.001114,0.02092,1.2,14.81,3.88,0.0736,0.0991,2.082,0.0012,0.0,-0.637,60.52,56.52,0.0525,0.036,0.0214,0.0295,21.73,0
2015-03-11,ERPZ,Tech,NYSE,Japon,BB,1.4,2061,112.44,114.98,109.59,113.55,421452,1712.99,0.008737,0.008699,0.02536,1.165,39.3,0.61,0.1954,-0.0106,0.649,0.0014,40.6,-1.991,119.61,97.99,0.0056,-0.069,0.0251,0.0339,26.84,0
2017-05-08,UVJK,Energie,NYSE,Japon,B,2.7,18453,107.94,109.32,106.81,107.35,1442763,20214.12,-0.006581,-0.006603,0.0348,1.181,39.93,0.3,0.086,0.0827,0.164,0.0203,44.4,-0.607,108.08,120.13,0.0377,0.01,0.0419,0.0064,21.79,0
2023-11-03,PVGH,Tech,NYSE,UK,B,9.3,1047,18.56,18.91,18.43,18.79,3025768,1121.01,0.02341,0.02314,0.01466,1.343,18.72,2.14,0.0319,0.0944,1.017,0.0199,28.8,1.584,18.61,18.19,0.0252,,0.0345,0.0125,19.7,0
2021-09-23,ZRMF,Energie,NASDAQ,USA,BBB,9.8,1722,109.92,114.33,109.72,113.11,892393,1820.78,0.030806,0.030341,0.02415,1.141,29.23,0.3,0.1406,0.0245,0.604,0.0413,35.9,-1.258,110.09,89.57,0.0565,-0.083,0.0336,0.045,25.63,0
2021-02-12,ILVP,Industrie,NASDAQ,Chine,A,22.3,4247,68.86,68.88,67.73,67.84,2866065,3985.43,-0.012216,-0.012291,0.04051,0.858,19.6,2.49,0.1057,0.0061,0.601,0.0643,29.3,0.692,72.4,76.4,0.0645,0.101,0.0138,0.0242,15.04,0
2017-06-27,IVRY,Finance,NASDAQ,USA,A,36.4,766,67.62,67.85,66.52,67.54,2610675,922.04,-0.003709,-0.003716,0.01082,1.241,14.08,4.58,0.0859,0.0996,0.694,0.013,57.6,-0.271,67.34,63.17,0.0705,-0.509,0.0352,0.0038,30.94,0
2019-07-31,NZSW,Tech,NYSE,USA,BBB,7.1,1382,145.16,151.14,144.48,150.2,5684919,866.61,0.042515,0.041636,0.02088,1.236,25.28,3.06,0.0922,0.0388,1.241,0.0222,40.7,-3.739,147.65,152.62,0.0361,0.298,-0.0091,0.0293,20.73,0
2021-05-18,MEMW,Finance,TSX,Chine,AAA,12.1,2847,25.81,26.25,25.76,25.94,21285431,1716.71,-0.001012,-0.001012,0.01507,0.906,23.22,4.31,0.0525,-0.0513,1.647,0.0347,49.9,-2.658,27.04,23.14,0.0815,1.0,0.0242,0.032,25.24,0
2015-08-16,UPAJ,Finance,NASDAQ,Japon,AA,5.6,594,55.37,57.89,55.2,57.74,201228,428.69,0.037082,0.036411,0.03945,1.164,30.63,4.47,0.2185,0.0118,1.784,0.0084,54.6,-0.043,58.45,54.95,0.0281,-0.548,0.0355,0.0434,22.0,0
2015-06-22,DHZS,Sante,NASDAQ,Allemagne,BBB,17.4,248,17.12,17.83,17.07,17.74,472728,223.34,0.034326,0.03375,0.02524,0.935,20.77,2.0,-0.1082,0.0087,0.36,0.0542,45.8,4.327,17.24,17.4,0.065,0.005,0.0347,0.0391,25.96,0
2017-10-06,CLPW,Sante,NASDAQ,USA,A,17.2,124,110.09,110.25,107.84,108.04,481589,179.84,-0.019762,-0.01996,0.0141,0.704,3.0,0.73,0.0765,0.0963,0.668,0.0012,22.1,1.442,107.81,125.71,0.0314,0.439,0.0288,0.0126,21.62,0
2019-06-23,JYXX,Consommation,NYSE,France,CCC,13.3,2632,34.22,34.9,34.19,34.52,1830530,1563.81,0.010001,0.009951,0.01475,0.375,22.02,1.89,0.0721,0.0676,0.945,0.0369,60.9,-4.009,38.51,34.38,0.0239,0.186,-0.007,0.0357,9.43,0
2023-01-02,IMKW,Sante,EURONEXT,USA,BBB,1.5,1110,25.99,26.0,24.84,25.16,2955226,804.83,-0.030787,-0.031271,0.01643,0.874,24.57,1.35,0.1945,0.0367,1.046,0.0672,44.3,-2.457,24.59,22.31,0.0528,0.449,0.0486,0.0119,23.72,0
2016-12-01,CPAE,Energie,EURONEXT,Allemagne,B,7.9,1063,17.34,17.47,16.91,17.04,232217,1077.45,-0.010038,-0.010089,0.02171,1.032,12.24,3.2,0.1699,0.0641,1.852,0.0621,34.6,-2.954,16.22,18.94,0.0254,-0.157,0.0462,0.0141,26.1,0
2020-01-14,ACZB,Consommation,NYSE,Canada,A,22.7,1008,118.8,121.57,118.46,120.26,1482999,1165.93,0.02005,0.019852,0.0137,0.588,14.37,4.44,0.21,0.011,0.101,0.0325,40.8,-3.379,129.16,127.18,0.0346,-0.357,-0.0081,0.0113,17.17,0
2022-01-20,XBOV,Tech,NYSE,Allemagne,A,4.9,1670,71.73,71.98,70.88,71.02,7199472,1919.8,-0.000867,-0.000868,0.04266,1.314,18.27,2.59,-0.0045,0.0687,1.554,0.0107,47.8,-4.154,71.59,60.62,0.0647,0.071,0.0433,0.0419,16.93,0
2022-07-28,UDQX,Tech,NASDAQ,USA,BB,23.7,222702,189.07,198.66,188.37,195.22,569637,150466.39,0.02544,0.025121,0.03638,1.404,28.77,3.64,0.2399,0.0416,1.596,0.0301,74.5,0.36,192.29,192.24,0.0372,0.395,0.047,0.0281,18.93,0
2015-06-16,SHMZ,Tech,NASDAQ,Allemagne,BBB,30.6,5474,191.52,194.56,188.95,190.17,224739,3937.45,-0.014866,-0.014978,0.02375,1.655,13.17,3.03,0.0257,0.0628,1.808,0.0325,22.1,1.424,186.07,205.72,0.0032,0.067,0.0359,0.0434,18.19,0
2016-04-02,CLHD,Consommation,TSX,Japon,AA,18.6,14486,107.9,111.03,107.72,110.39,3225416,16644.17,0.018778,0.018604,0.01706,0.751,28.92,0.78,0.0334,0.1008,2.406,0.0109,50.8,2.459,112.36,104.83,0.0796,0.285,0.0507,0.0404,18.79,0
2019-04-17,LFPF,Energie,NASDAQ,Canada,A,6.4,765,24.64,24.77,24.54,24.71,6373291,620.15,0.001582,0.00158,0.02537,1.052,3.0,2.71,0.1745,0.0295,2.443,0.0133,40.1,-1.176,22.61,26.18,0.0584,-0.208,-0.0058,0.0405,15.84,0
2021-01-24,JEMU,Tech,LSE,USA,A,15.1,3404,39.44,41.06,39.32,40.3,18265556,3557.37,0.026621,0.026273,0.05498,1.349,15.89,2.4,0.0695,-0.0438,1.163,0.0074,54.7,-4.575,42.06,37.63,0.0552,0.304,0.0129,0.025,22.01,0
2023-06-28,RDNM,Energie,NYSE,Chine,BBB,22.5,272,58.64,58.71,56.71,57.46,288392,338.28,-0.021182,-0.02141,0.02752,0.947,29.09,0.3,0.1655,0.0832,1.618,0.0025,42.4,-3.011,58.78,53.32,0.0646,-0.687,0.0428,0.0061,28.53,0
2015-09-08,IVQP,Tech,NASDAQ,USA,CCC,21.7,1447,147.57,151.53,147.13,150.03,579391,2614.76,0.014224,0.014124,0.03222,1.135,18.81,0.6,0.0561,0.0971,1.222,0.0374,37.5,-0.406,156.94,145.27,0.0216,-0.261,0.0386,0.0466,19.57,0
2019-10-12,JTUC,Sante,NASDAQ,USA,BBB,17.0,12532,385.77,386.4,371.61,373.98,469081,22097.1,-0.028415,-0.028827,0.02828,0.611,4.6,1.72,0.2712,0.0723,2.211,0.0284,74.6,3.284,320.24,347.62,0.0232,0.28,-0.0063,0.0203,25.58,0
